ID;Gemeente_Code;Gemeente;Perioden;TotaleBevolking
1565;GM1680;Aa en Hunze;2021;25399
1592;GM0738;Aalburg;2021;
1619;GM0358;Aalsmeer;2021;31991
1646;GM0197;Aalten;2021;27120
1673;GM0480;Ter Aar;2021;
1700;GM0739;Aarle-Rixtel;2021;
1727;GM0305;Abcoude;2021;
1754;GM0059;Achtkarspelen;2021;27900
1781;GM0360;Akersloot;2021;
1808;GM0482;Alblasserdam;2021;20136
1835;GM0613;Albrandswaard;2021;25814
1862;GM0483;Alkemade;2021;
1889;GM0361;Alkmaar;2021;109896
1916;GM0141;Almelo;2021;73132
1943;GM0034;Almere;2021;214715
1970;GM0484;Alphen aan den Rijn;2021;112587
1997;GM0741;Alphen en Riel;2021;
2024;GM1723;Alphen-Chaam;2021;10373
2051;GM1959;Altena;2021;56352
2078;GM0142;Ambt Delden;2021;
2105;GM1679;Ambt Montfort;2021;
2132;GM0060;Ameland;2021;3746
2159;GM0306;Amerongen;2021;
2186;GM0307;Amersfoort;2021;157462
2213;GM0198;Ammerzoden;2021;
2240;GM0362;Amstelveen;2021;90829
2267;GM0363;Amsterdam;2021;873338
2294;GM0364;Andijk;2021;
2321;GM0199;Angerlo;2021;
2348;GM0105;Anloo;2021;
2375;GM0366;Anna Paulowna;2021;
2402;GM0200;Apeldoorn;2021;164781
2429;GM0003;Appingedam;2021;
2456;GM0885;Arcen en Velden;2021;
2483;GM0649;Arnemuiden;2021;
2510;GM0202;Arnhem;2021;162424
2537;GM0106;Assen;2021;68836
2564;GM0743;Asten;2021;16817
2591;GM0143;Avereest;2021;
2618;GM0650;Axel;2021;
2645;GM0744;Baarle-Nassau;2021;6899
2672;GM0308;Baarn;2021;24792
2699;GM0745;Bakel en Milheeze;2021;
2726;GM0489;Barendrecht;2021;48643
2753;GM0203;Barneveld;2021;59992
2780;GM0144;Bathmen;2021;
2807;GM0005;Bedum;2021;
2834;GM0888;Beek (L.);2021;15875
2861;GM0746;Beek en Donk;2021;
2888;GM1954;Beekdaelen;2021;36065
2915;GM0370;Beemster;2021;10110
2942;GM0889;Beesel;2021;13450
2969;GM0107;Beilen;2021;
2996;GM0890;Belfeld;2021;
3023;GM0007;Bellingwedde;2021;
3050;GM0206;Bemmel;2021;
3077;GM0372;Bennebroek;2021;
3104;GM1945;Berg en Dal;2021;35010
3131;GM0491;Bergambacht;2021;
3158;GM1724;Bergeijk;2021;18754
3185;GM0893;Bergen (L.);2021;13108
3212;GM0373;Bergen (NH.);2021;29715
3239;GM0748;Bergen op Zoom;2021;67514
3266;GM0749;Bergeyk;2021;
3293;GM0207;Bergh;2021;
3320;GM0492;Bergschenhoek;2021;
3347;GM0493;Berkel en Rodenrijs;2021;
3374;GM0751;Berkel-Enschot;2021;
3401;GM1859;Berkelland;2021;43846
3428;GM0752;Berlicum;2021;
3455;GM1721;Bernheze;2021;31455
3482;GM0568;Bernisse;2021;
3509;GM0753;Best;2021;30216
3536;GM0209;Beuningen;2021;26157
3563;GM0375;Beverwijk;2021;41863
3590;GM0063;het Bildt;2021;
3617;GM0310;De Bilt;2021;43384
3644;GM0585;Binnenmaas;2021;
3671;GM1728;Bladel;2021;20529
3698;GM0754;Bladel en Netersel;2021;
3725;GM0376;Blaricum;2021;11954
3752;GM0495;Bleiswijk;2021;
3779;GM0377;Bloemendaal;2021;23478
3806;GM0055;Boarnsterhim;2021;
3833;GM0497;Bodegraven;2021;
3860;GM1901;Bodegraven-Reeuwijk;2021;35278
3887;GM0755;Boekel;2021;10959
3914;GM0009;Ten Boer;2021;
3941;GM0064;Bolsward;2021;
3968;GM0211;Borculo;2021;
3995;GM0108;Borger;2021;
4022;GM1681;Borger-Odoorn;2021;25598
4049;GM0897;Born;2021;
4076;GM0147;Borne;2021;23668
4103;GM0654;Borsele;2021;22818
4130;GM0499;Boskoop;2021;
4157;GM0756;Boxmeer;2021;29609
4184;GM0757;Boxtel;2021;32973
4211;GM0212;Brakel;2021;
4238;GM0758;Breda;2021;184126
4265;GM0194;Brederwiede;2021;
4292;GM0311;Breukelen;2021;
4319;GM0501;Brielle;2021;17439
4346;GM0898;Broekhuizen;2021;
4373;GM1876;Bronckhorst;2021;36087
4400;GM0656;Brouwershaven;2021;
4427;GM0657;Bruinisse;2021;
4454;GM0213;Brummen;2021;20884
4481;GM0899;Brunssum;2021;27670
4508;GM0759;Budel;2021;
4535;GM0312;Bunnik;2021;15341
4562;GM0313;Bunschoten;2021;22019
4589;GM0214;Buren;2021;27009
4616;GM0381;Bussum;2021;
4643;GM0502;Capelle aan den IJssel;2021;67319
4670;GM0383;Castricum;2021;36086
4697;GM0760;Chaam;2021;
4724;GM0109;Coevorden;2021;35317
4751;GM0314;Cothen;2021;
4778;GM1706;Cranendonck;2021;21001
4805;GM0611;Cromstrijen;2021;
4832;GM1684;Cuijk;2021;25404
4859;GM0216;Culemborg;2021;29121
4886;GM0110;Dalen;2021;
4913;GM0148;Dalfsen;2021;28901
4940;GM0065;Dantumadeel;2021;
4967;GM1891;Dantumadiel;2021;18943
4994;GM0503;Delft;2021;103581
5021;GM0010;Delfzijl;2021;
5048;GM0149;Denekamp;2021;
5075;GM0762;Deurne;2021;32437
5102;GM0150;Deventer;2021;101236
5129;GM0218;Didam;2021;
5156;GM0384;Diemen;2021;31334
5183;GM0151;Diepenheim;2021;
5210;GM0152;Diepenveen;2021;
5237;GM0763;Diessen;2021;
5264;GM0111;Diever;2021;
5291;GM1774;Dinkelland;2021;26606
5318;GM0764;Dinteloord en Prinsenland;2021;
5345;GM0219;Dinxperlo;2021;
5372;GM0504;Dirksland;2021;
5399;GM0220;Dodewaard;2021;
5426;GM0221;Doesburg;2021;11064
5453;GM0222;Doetinchem;2021;58270
5480;GM0660;Domburg;2021;
5507;GM0766;Dongen;2021;26368
5534;GM0058;Dongeradeel;2021;
5561;GM0315;Doorn;2021;
5588;GM0505;Dordrecht;2021;119115
5615;GM0498;Drechterland;2021;19838
5642;GM0316;Driebergen-Rijsenburg;2021;
5669;GM1719;Drimmelen;2021;27325
5696;GM0303;Dronten;2021;42011
5723;GM0767;Drunen;2021;
5750;GM0225;Druten;2021;18991
5777;GM0662;Duiveland;2021;
5804;GM0226;Duiven;2021;25066
5831;GM0768;Den Dungen;2021;
5858;GM0769;Dussen;2021;
5885;GM0112;Dwingeloo;2021;
5912;GM0902;Echt;2021;
5939;GM0227;Echteld;2021;
5966;GM1711;Echt-Susteren;2021;31751
5993;GM0385;Edam-Volendam;2021;36268
6020;GM0228;Ede;2021;118530
6047;GM0113;Eelde;2021;
6074;GM0317;Eemnes;2021;9362
6101;GM1979;Eemsdelta;2021;45587
6128;GM1651;Eemsmond;2021;
6155;GM0770;Eersel;2021;19528
6182;GM0357;Egmond;2021;
6209;GM0229;Eibergen;2021;
6236;GM0905;Eijsden;2021;
6263;GM1903;Eijsden-Margraten;2021;25900
6290;GM0772;Eindhoven;2021;235691
6317;GM0230;Elburg;2021;23429
6344;GM0231;Elst;2021;
6371;GM0114;Emmen;2021;107024
6398;GM0388;Enkhuizen;2021;18637
6425;GM0153;Enschede;2021;159732
6452;GM0232;Epe;2021;33198
6479;GM0233;Ermelo;2021;27016
6506;GM0776;Esch;2021;
6533;GM0777;Etten-Leur;2021;43869
6560;GM0068;Ferwerderadeel;2021;
6587;GM1722;Ferwerderadiel;2021;
6614;GM0778;Fijnaart en Heijningen;2021;
6641;GM0070;Franekeradeel;2021;
6668;GM1921;De Friese Meren;2021;
6695;GM1940;De Fryske Marren;2021;51778
6722;GM0653;Gaasterlân-Sleat;2021;
6749;GM0115;Gasselte;2021;
6776;GM0779;Geertruidenberg;2021;21770
6803;GM0236;Geldermalsen;2021;
6830;GM0781;Geldrop;2021;
6857;GM1771;Geldrop-Mierlo;2021;40066
6884;GM0906;Geleen;2021;
6911;GM0782;Gemert;2021;
6938;GM1652;Gemert-Bakel;2021;30760
6965;GM0237;Gendringen;2021;
6992;GM0238;Gendt;2021;
7019;GM0154;Genemuiden;2021;
7046;GM0907;Gennep;2021;17035
7073;GM0689;Giessenlanden;2021;
7100;GM0116;Gieten;2021;
7127;GM0784;Gilze en Rijen;2021;26723
7154;GM0511;Goedereede;2021;
7181;GM1924;Goeree-Overflakkee;2021;50589
7208;GM0664;Goes;2021;38594
7235;GM0785;Goirle;2021;23952
7262;GM1942;Gooise Meren;2021;58524
7289;GM0156;Goor;2021;
7316;GM0512;Gorinchem;2021;37410
7343;GM0239;Gorssel;2021;
7370;GM0513;Gouda;2021;73681
7397;GM0693;Graafstroom;2021;
7424;GM0365;Graft-De Rijp;2021;
7451;GM0157;Gramsbergen;2021;
7478;GM0786;Grave;2021;12486
7505;GM0390;'s-Graveland;2021;
7532;GM0517;'s-Gravendeel;2021;
7559;GM0518;'s-Gravenhage (gemeente);2021;548320
7586;GM0787;'s-Gravenmoer;2021;
7613;GM0519;'s-Gravenzande;2021;
7640;GM0240;Groenlo;2021;
7667;GM0241;Groesbeek;2021;
7694;GM0014;Groningen (gemeente);2021;233273
7721;GM0015;Grootegast;2021;
7748;GM0912;Grubbenvorst;2021;
7775;GM0913;Gulpen;2021;
7802;GM1729;Gulpen-Wittem;2021;14206
7829;GM0158;Haaksbergen;2021;24229
7856;GM0788;Haaren;2021;
7883;GM0392;Haarlem;2021;162543
7910;GM0393;Haarlemmerliede en Spaarnwoude;2021;
7937;GM0394;Haarlemmermeer;2021;157789
7964;GM0914;Haelen;2021;
7991;GM1655;Halderberge;2021;30430
8018;GM0789;Halsteren;2021;
8045;GM0159;Den Ham;2021;
8072;GM0160;Hardenberg;2021;61357
8099;GM0243;Harderwijk;2021;48726
8126;GM0523;Hardinxveld-Giessendam;2021;18413
8153;GM0017;Haren;2021;
8180;GM0395;Harenkarspel;2021;
8207;GM0072;Harlingen;2021;15807
8234;GM0318;Harmelen;2021;
8261;GM0161;Hasselt;2021;
8288;GM0244;Hattem;2021;12228
8315;GM0117;Havelte;2021;
8342;GM0245;Hedel;2021;
8369;GM1937;Heel;2021;
8396;GM0396;Heemskerk;2021;39191
8423;GM0397;Heemstede;2021;27545
8450;GM0246;Heerde;2021;18776
8477;GM0074;Heerenveen;2021;50650
8504;GM0247;Heerewaarden;2021;
8531;GM0398;Heerhugowaard;2021;58387
8558;GM0526;Heerjansdam;2021;
8585;GM0917;Heerlen;2021;86936
8612;GM0791;Heesch;2021;
8639;GM0793;Heeze;2021;
8666;GM1658;Heeze-Leende;2021;16243
8693;GM0399;Heiloo;2021;24144
8720;GM0162;Heino;2021;
8747;GM0918;Helden;2021;
8774;GM0400;Den Helder;2021;56582
8801;GM0163;Hellendoorn;2021;35932
8828;GM0530;Hellevoetsluis;2021;40312
8855;GM0794;Helmond;2021;92627
8882;GM0795;Helvoirt;2021;
8909;GM0531;Hendrik-Ido-Ambacht;2021;31258
8936;GM0248;Hengelo (Gld.);2021;
8963;GM0164;Hengelo (O.);2021;81049
8990;GM0796;'s-Hertogenbosch;2021;155490
9017;GM0251;Heteren;2021;
9044;GM0252;Heumen;2021;16569
9071;GM0797;Heusden;2021;45005
9098;GM0920;Heythuysen;2021;
9125;GM0534;Hillegom;2021;22197
9152;GM0798;Hilvarenbeek;2021;15698
9179;GM0402;Hilversum;2021;91235
9206;GM1963;Hoeksche Waard;2021;88047
9233;GM0253;Hoevelaken;2021;
9260;GM0799;Hoeven;2021;
9287;GM1735;Hof van Twente;2021;35040
9314;GM1966;Het Hogeland;2021;47834
9341;GM1911;Hollands Kroon;2021;48583
9368;GM0165;Holten;2021;
9395;GM0675;Hontenisse;2021;
9422;GM0801;Hooge en Lage Mierde;2021;
9449;GM0802;Hooge en Lage Zwaluwe;2021;
9476;GM0800;Hoogeloon, Hapert en Casteren;2021;
9503;GM0118;Hoogeveen;2021;55603
9530;GM0018;Hoogezand-Sappemeer;2021;
9557;GM0405;Hoorn;2021;73619
9584;GM0923;Horst;2021;
9611;GM1507;Horst aan de Maas;2021;42487
9638;GM0321;Houten;2021;50223
9665;GM0803;Huijbergen;2021;
9692;GM0255;Huissen;2021;
9719;GM0406;Huizen;2021;41090
9746;GM0677;Hulst;2021;27575
9773;GM0256;Hummelo en Keppel;2021;
9800;GM0925;Hunsel;2021;
9827;GM0195;IJsselham;2021;
