Code_299;Naam_300;Periode;Aantal
VR01      ;Groningen                                         ;2021;586937
VR02      ;Fryslân                                           ;2021;651435
VR03      ;Drenthe                                           ;2021;494771
VR04      ;IJsselland                                        ;2021;534800
VR05      ;Twente                                            ;2021;631733
VR06      ;Noord- en Oost-Gelderland                         ;2021;831329
VR07      ;Gelderland-Midden                                 ;2021;701253
VR08      ;Gelderland-Zuid                                   ;2021;564021
VR09      ;Utrecht                                           ;2021;1361153
VR10      ;Noord-Holland-Noord                               ;2021;665867
VR11      ;Zaanstreek-Waterland                              ;2021;339861
VR12      ;Kennemerland                                      ;2021;551826
VR13      ;Amsterdam-Amstelland                              ;2021;1071823
VR14      ;Gooi en Vechtstreek                               ;2021;259109
VR15      ;Haaglanden                                        ;2021;1122240
VR16      ;Hollands-Midden                                   ;2021;814457
VR17      ;Rotterdam-Rijnmond                                ;2021;1328301
VR18      ;Zuid-Holland-Zuid                                 ;2021;461052
VR19      ;Zeeland                                           ;2021;385400
VR20      ;Midden- en West-Brabant                           ;2021;1130035
VR21      ;Brabant-Noord                                     ;2021;659524
VR22      ;Brabant-Zuidoost                                  ;2021;784390
VR23      ;Limburg-Noord                                     ;2021;521618
VR24      ;Limburg-Zuid                                      ;2021;594254
VR25      ;Flevoland                                         ;2021;428226
